BA TRI 38	RandomXmonero	us-west01.miningrigrentals.com	3333  batri.367703 x 
Batri 00	X11	us-east01.miningrigrentals.com	50343  batri.291932 x 
00	X11	us-east01.miningrigrentals.com	50343  batri.291932 x 
bestsolo 07	SHA256AsicBoost	eu-ru01.miningrigrentals.com	53761  bestsolomining.371997 x 
01 BA TRI	RandomXmonero	us-west01.miningrigrentals.com	3333  batri.291674 x 
07 BEST SOLO	RandomXmonero	eu-de01.miningrigrentals.com	3333  bestsolomining.371646 x 
BA TRI 03	SHA256	us-west01.miningrigrentals.com	50487  batri.363907 x 
01 best solo	Octopus	eu-de03.miningrigrentals.com	3315  bestsolomining.372441 x 
solo 01	Scrypt	eu-01.miningrigrentals.com	50212  bestsolomining.369808 x 
SOLO 2 ETC	ETCHash	eu-ru01.miningrigrentals.com	3344  bestsolomining.370391 x 
Ba tri 29	SHA256AsicBoost	us-west01.miningrigrentals.com	50428  batri.362291 x 
SOLO 1 ETCHASH	ETCHash	us-west01.miningrigrentals.com	3344  bestsolomining.369698 x 
BaTri 13	SHA256AsicBoost	us-west01.miningrigrentals.com	50560  batri.355699 x 
Ba tri 25	SHA256AsicBoost	us-west01.miningrigrentals.com	50594  batri.355859 x 
SOLO 1 KAWPOW	KAWPOW	eu-01.miningrigrentals.com	3333  bestsolomining.371859 x 
Ba tri 21	SHA256AsicBoost	us-west01.miningrigrentals.com	51887  batri.355853 x 
BaTri 33	SHA256AsicBoost	us-west01.miningrigrentals.com	50668  batri.362293 x 
Batri 00	DaggerHashimoto	us-west01.miningrigrentals.com	3344  batri.264822 x 
Ba tri 37	SHA256AsicBoost	us-west01.miningrigrentals.com	50741  batri.362288 x 
batri 17	SHA256AsicBoost	us-west01.miningrigrentals.com	50762  batri.355725 x 
BATRI 01 ETCHASH	ETCHash	eu-ru01.miningrigrentals.com	3344  batri.299476 x 
Batri 38	SHA256AsicBoost	eu-ru01.miningrigrentals.com	52622  batri.362286 x 
Batri 1	Octopus	us-west01.miningrigrentals.com	3315  batri.299500 x 
BA TRI 12	RandomXmonero	eu-01.miningrigrentals.com	3333  batri.316863 x 
ba tri 02	KAWPOW	us-west01.miningrigrentals.com	51254  batri.317713 x 
BA TRI 09	KAWPOW	us-west01.miningrigrentals.com	50691  batri.336449 x 
BA TRI 09	KAWPOW	us-west01.miningrigrentals.com	50691  batri.336449 x 
BA TRI 11	Scrypt	eu-de02.miningrigrentals.com	53717  batri.353741 x 
BA TRI 05	SHA256AsicBoost	us-west01.miningrigrentals.com	51521  batri.355562 x 
BA TRI 08	SHA256	us-west01.miningrigrentals.com	50983  batri.299661 x 
BA TRI 01	KAWPOW	us-west01.miningrigrentals.com	51677  batri.317720 x 
BA TRI 12	Scrypt	eu-de02.miningrigrentals.com	51255  batri.353742 x 
BA TRI 01	Scrypt	us-west01.miningrigrentals.com	51691  batri.354745 x 
ba tri 01	SHA256AsicBoost	us-west01.miningrigrentals.com	50584  batri.353319 x 
BA TRI 11	RandomXmonero	eu-de01.miningrigrentals.com	3333  batri.325187 x 
BA TRI 31	RandomXmonero	us-west01.miningrigrentals.com	3333  batri.362866 x 
BEST SOLO 14	RandomXmonero	eu-de03.miningrigrentals.com	3333  bestsolomining.371844 x 
BEST SOLO 07	SHA256	us-west01.miningrigrentals.com	50591  bestsolomining.369658 x 
batri 01	DaggerHashimoto	us-west01.miningrigrentals.com	3344  batri.299617 x 
batri 02	DaggerHashimoto	us-west01.miningrigrentals.com	3344  batri.299617 x 
BEST SOLO 01	SHA256	us-west01.miningrigrentals.com	50391  bestsolomining.369458 x 
06 best	RandomXmonero	us-west01.miningrigrentals.com	3333  bestsolomining.370923 x 
BEST SOLO 21	RandomXmonero	eu-de01.miningrigrentals.com	3333  bestsolomining.373527 x 
Batri 08	KAWPOW	us-west01.miningrigrentals.com	50066  batri.319765 x 
batri 21	KAWPOW	us-west01.miningrigrentals.com	50788  batri.353971 x 
batri 25	KAWPOW	us-west01.miningrigrentals.com	50183  batri.354899 x 
batri 29	KAWPOW	us-west01.miningrigrentals.com	50488  batri.360322 x 
batri 01	KAWPOW	us-west01.miningrigrentals.com	51677  batri.317720 x
